long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
5.800000e+01 2.453328e+05 5.976337e-12 2.280919e-16 1.765450e+07 5.765198e+05 5.697126e+05 4.331956e-16 8.149519e+05 6.399283e+06 2.385527e-06 5.733515e+03 4.502594e+05 5.466853e-07
5.900000e+01 5.990124e+05 1.502496e-10 2.272833e-16 2.882147e+07 6.725341e+06 8.193966e+05 4.198056e-16 3.391022e+06 3.263245e+07 2.262006e-08 9.245223e+03 5.895529e+05 1.532728e-08
6.000000e+01 3.412524e+05 1.022997e-10 2.266271e-16 2.076822e+07 1.074314e+06 7.042981e+05 4.140079e-16 6.514634e+05 5.777979e+06 3.304200e-07 1.232509e+04 4.704216e+05 1.390634e-08
6.100000e+01 3.245534e+05 8.508239e-11 2.261024e-16 1.915527e+07 1.338408e+06 6.594684e+05 4.132672e-16 4.653136e+05 4.158478e+06 2.254461e-07 1.727298e+04 5.004814e+05 7.997654e-09
6.200000e+01 2.603952e+05 8.634824e-11 2.256931e-16 2.218991e+07 2.182218e+06 6.855310e+05 4.171917e-16 2.100854e+06 1.150345e+07 4.771056e-09 2.125904e+04 4.730500e+05 2.367638e-09
6.300000e+01 1.416356e+05 1.072882e-10 2.253878e-16 1.126881e+07 1.237624e+06 4.362951e+05 4.271146e-16 5.618323e+05 3.995882e+06 7.559407e-08 2.132155e+04 3.371289e+05 2.885126e-08
6.400000e+01 1.260912e+05 1.645465e-10 2.251784e-16 1.281655e+07 1.305633e+06 4.892323e+05 4.470087e-16 9.889731e+05 1.395272e+07 6.133542e-10 2.859249e+04 3.296205e+05 8.041581e-09
6.500000e+01 1.311491e+05 8.854375e-11 2.247173e-16 1.325844e+07 7.184221e+05 4.807910e+05 4.173005e-16 3.738110e+05 5.718994e+06 2.437022e-12 3.838539e+04 3.486593e+05 6.303668e-10
6.600000e+01 1.625605e+05 5.830995e-12 2.249317e-16 1.665775e+07 1.571866e+04 7.822915e+05 4.701749e-16 6.545062e+03 5.047970e+06 1.207389e-12 4.092603e+04 3.658757e+05 1.180304e-09
6.700000e+01 1.447590e+05 7.148537e-10 2.248917e-16 1.766359e+07 7.600048e-06 8.821926e+05 4.782677e-16 4.171993e-06 5.414401e+06 1.523654e-13 4.472543e+04 3.435773e+05 6.063535e-10
6.800000e+01 4.907053e+04 1.104991e-09 2.249447e-16 6.744403e+06 9.484878e-06 2.758296e+05 5.128474e-16 3.651472e-06 1.175772e+06 5.074938e-14 5.763736e+05 2.097239e+05 4.248321e-10
6.900000e+01 7.750359e+04 4.366749e-12 2.251016e-16 1.681033e+07 7.312402e-14 4.320679e+05 5.937029e-16 3.939996e-14 9.922918e+06 4.171177e-14 5.797799e+05 4.064777e+05 4.100232e-10
